# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,2.762850910e-04,3.771602356e-08,-3.018274940e-07,-7.232409133e-01,1.100945552e-03,-2.344377837e+00
1.010101010e-02,2.652947795e-04,1.146418357e-07,-3.268537223e-07,-6.167296268e-01,1.305625662e-03,-2.182130990e+00
2.020202020e-02,2.539269984e-04,1.969784769e-07,-3.348215784e-07,-5.195088302e-01,1.529834282e-03,-2.047628902e+00
3.030303030e-02,2.428770148e-04,2.801741620e-07,-3.335688538e-07,-4.360890584e-01,1.793587173e-03,-1.999211821e+00
4.040404040e-02,2.292786918e-04,3.554079807e-07,-3.191090951e-07,-3.658176973e-01,2.083253923e-03,-1.875244480e+00
5.050505051e-02,2.188748543e-04,4.423864331e-07,-2.941869048e-07,-2.934238775e-01,2.427294134e-03,-1.842421643e+00
6.060606061e-02,2.090453020e-04,5.210759084e-07,-2.593415326e-07,-2.309045372e-01,2.784307987e-03,-1.806110787e+00
7.070707071e-02,1.975352760e-04,5.925709837e-07,-2.162515419e-07,-1.749599764e-01,3.193339473e-03,-1.742241496e+00
8.080808081e-02,1.889278285e-04,6.611278929e-07,-1.677867303e-07,-1.242706124e-01,3.610303788e-03,-1.681701012e+00
9.090909091e-02,1.774998156e-04,7.215672362e-07,-1.064611389e-07,-7.324235985e-02,4.109179898e-03,-1.631413976e+00
1.010101010e-01,1.704227635e-04,7.739957483e-07,-4.184614178e-08,-2.700624692e-02,4.548254672e-03,-1.601211273e+00
1.111111111e-01,1.601973700e-04,8.161865336e-07,2.877881076e-08,1.762274420e-02,5.098047163e-03,-1.551773118e+00
1.212121212e-01,1.530633064e-04,8.575587208e-07,9.931582799e-08,5.764931370e-02,5.640088284e-03,-1.507033076e+00
1.313131313e-01,1.450427332e-04,8.845979360e-07,1.748587421e-07,9.757723316e-02,6.216888687e-03,-1.464522081e+00
1.414141414e-01,1.373640692e-04,9.078579373e-07,2.540916515e-07,1.364489018e-01,6.863113862e-03,-1.421829447e+00
1.515151515e-01,1.307574176e-04,9.168993118e-07,3.343470725e-07,1.748328578e-01,7.463875810e-03,-1.376432567e+00
1.616161616e-01,1.232085458e-04,9.190875150e-07,4.157518573e-07,2.124044174e-01,8.187317429e-03,-1.371954734e+00
1.717171717e-01,1.168888104e-04,9.122638633e-07,4.966769533e-07,2.492839364e-01,8.886287195e-03,-1.321945530e+00
1.818181818e-01,1.109065322e-04,9.039507268e-07,5.763207162e-07,2.837893133e-01,9.666168879e-03,-1.281706325e+00
1.919191919e-01,1.052893535e-04,8.831567513e-07,6.575951061e-07,3.200168284e-01,1.045774380e-02,-1.206341520e+00
2.020202020e-01,9.961868833e-05,8.523631115e-07,7.296953981e-07,3.540081068e-01,1.126336853e-02,-1.218365621e+00
2.121212121e-01,9.471247880e-05,8.143419827e-07,8.030101996e-07,3.891959493e-01,1.207516454e-02,-1.173593224e+00
2.222222222e-01,8.991347257e-05,7.734651570e-07,8.782316518e-07,4.243714593e-01,1.301554806e-02,-1.131166439e+00
2.323232323e-01,8.487965860e-05,7.168560256e-07,9.383235789e-07,4.592054335e-01,1.391168508e-02,-1.145525878e+00
2.424242424e-01,8.158646088e-05,6.669588091e-07,1.012209399e-06,4.940901343e-01,1.485772129e-02,-1.057944106e+00
2.525252525e-01,7.761626371e-05,6.017656791e-07,1.070564147e-06,5.293548300e-01,1.582271429e-02,-1.072260588e+00
2.626262626e-01,7.378010081e-05,5.305427688e-07,1.124814853e-06,5.650337481e-01,1.685627329e-02,-1.027119022e+00
2.727272727e-01,7.099780909e-05,4.571821208e-07,1.181286330e-06,6.007644678e-01,1.784097305e-02,-9.893512972e-01
2.828282828e-01,6.718624768e-05,3.734919724e-07,1.213943804e-06,6.361596837e-01,1.890417687e-02,-9.452579752e-01
2.929292929e-01,6.494326730e-05,2.905882756e-07,1.266824154e-06,6.726568776e-01,2.001323645e-02,-9.128412152e-01
3.030303030e-01,6.215464013e-05,1.951685039e-07,1.291536597e-06,7.104088222e-01,2.101531997e-02,-8.854798795e-01
3.131313131e-01,5.995776740e-05,1.021127596e-07,1.326476581e-06,7.469837018e-01,2.218897028e-02,-8.512860478e-01
3.232323232e-01,5.730979298e-05,-7.930540215e-10,1.340095193e-06,7.856940580e-01,2.338335838e-02,-8.029967545e-01
3.333333333e-01,5.520684781e-05,-1.045556872e-07,1.353010716e-06,8.239596862e-01,2.458109087e-02,-8.032643099e-01
3.434343434e-01,5.389571931e-05,-2.160669374e-07,1.351673802e-06,8.646533430e-01,2.539782731e-02,-6.691354153e-01
3.535353535e-01,5.167135862e-05,-3.253417994e-07,1.347137075e-06,9.038824391e-01,2.682078434e-02,-6.495997568e-01
