# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,2.462582087e-04,2.800927719e-07,-3.172563766e-07,-4.237661446e-01,1.718546962e-03,-2.034503262e+00
1.010101010e-02,2.333603373e-04,3.619081957e-07,-3.030360212e-07,-3.485457051e-01,2.022733695e-03,-1.886959189e+00
2.020202020e-02,2.241037276e-04,4.421270208e-07,-2.800638448e-07,-2.823251043e-01,2.335374299e-03,-1.873944852e+00
3.030303030e-02,2.115467998e-04,5.155678352e-07,-2.460641198e-07,-2.226486681e-01,2.700477114e-03,-1.796548258e+00
4.040404040e-02,2.007093305e-04,5.852081657e-07,-2.022728655e-07,-1.663938385e-01,3.084954849e-03,-1.723169147e+00
5.050505051e-02,1.901771441e-04,6.506916905e-07,-1.515245861e-07,-1.143947903e-01,3.513047402e-03,-1.672276144e+00
6.060606061e-02,1.820369120e-04,7.135158071e-07,-9.356559358e-08,-6.519459266e-02,3.953178654e-03,-1.625543217e+00
7.070707071e-02,1.711798183e-04,7.607856438e-07,-2.825473799e-08,-1.856091686e-02,4.447429290e-03,-1.588543663e+00
8.080808081e-02,1.635138668e-04,8.134926799e-07,3.958014330e-08,2.430811997e-02,4.980953630e-03,-1.538765356e+00
9.090909091e-02,1.544811733e-04,8.465304969e-07,1.108604579e-07,6.510878392e-02,5.526619750e-03,-1.488636515e+00
1.010101010e-01,1.472372956e-04,8.782090195e-07,1.859296802e-07,1.043169081e-01,6.096792847e-03,-1.464008416e+00
1.111111111e-01,1.391636531e-04,8.955474535e-07,2.619693582e-07,1.422921435e-01,6.704892018e-03,-1.429957734e+00
1.212121212e-01,1.315196410e-04,9.068480508e-07,3.414182853e-07,1.800377130e-01,7.367637794e-03,-1.420712622e+00
1.313131313e-01,1.240050260e-04,9.051647575e-07,4.193403973e-07,2.169192957e-01,8.044689092e-03,-1.352196306e+00
1.414141414e-01,1.177677915e-04,8.993928406e-07,5.016074418e-07,2.543746536e-01,8.744447819e-03,-1.318662259e+00
1.515151515e-01,1.114878696e-04,8.874440503e-07,5.768135066e-07,2.881776583e-01,9.493664598e-03,-1.283776982e+00
1.616161616e-01,1.059912435e-04,8.704414221e-07,6.569206592e-07,3.232506221e-01,1.028868428e-02,-1.197599137e+00
1.717171717e-01,1.000623895e-04,8.357928450e-07,7.286734164e-07,3.585172964e-01,1.108143441e-02,-1.233298733e+00
1.818181818e-01,9.531254723e-05,8.024951589e-07,8.026532693e-07,3.927483327e-01,1.190830984e-02,-1.218865124e+00
1.919191919e-01,9.042920331e-05,7.582161209e-07,8.716452792e-07,4.274402450e-01,1.277544859e-02,-1.118945312e+00
2.020202020e-01,8.608520167e-05,7.101848600e-07,9.368742379e-07,4.610858364e-01,1.365653694e-02,-1.115535535e+00
2.121212121e-01,8.170494441e-05,6.541421980e-07,9.976130884e-07,4.952096963e-01,1.460072904e-02,-1.091065672e+00
2.222222222e-01,7.811403094e-05,5.937662046e-07,1.058356682e-06,5.297634318e-01,1.553548185e-02,-1.036997714e+00
2.323232323e-01,7.391240918e-05,5.256773598e-07,1.115042833e-06,5.651277431e-01,1.667844121e-02,-1.024038542e+00
2.424242424e-01,7.064858057e-05,4.516449765e-07,1.153094597e-06,5.987411053e-01,1.752887615e-02,-9.525486760e-01
2.525252525e-01,6.795206358e-05,3.750974664e-07,1.198209259e-06,6.337059727e-01,1.847698262e-02,-9.427653722e-01
2.626262626e-01,6.471483552e-05,2.910760777e-07,1.244433551e-06,6.705123570e-01,1.974851602e-02,-9.267564266e-01
2.727272727e-01,6.234795165e-05,2.032329337e-07,1.278857908e-06,7.065983489e-01,2.076902002e-02,-8.936512222e-01
2.828282828e-01,6.007909464e-05,1.074681842e-07,1.298147899e-06,7.440994491e-01,2.168123088e-02,-8.501834738e-01
2.929292929e-01,5.799380075e-05,9.842938741e-09,1.327341475e-06,7.816904670e-01,2.288827345e-02,-7.836399395e-01
3.030303030e-01,5.557602519e-05,-9.391365415e-08,1.335053007e-06,8.205125768e-01,2.408146465e-02,-7.646989600e-01
3.131313131e-01,5.396468214e-05,-1.957197494e-07,1.336306689e-06,8.581127581e-01,2.502680371e-02,-7.138741995e-01
3.232323232e-01,5.235794505e-05,-3.044087673e-07,1.331763743e-06,8.977557550e-01,2.609176192e-02,-6.967212659e-01
3.333333333e-01,5.093155823e-05,-4.120205157e-07,1.323833568e-06,9.362631898e-01,2.722219825e-02,-6.409065442e-01
3.434343434e-01,4.964344235e-05,-5.298572767e-07,1.298210169e-06,9.791520025e-01,2.824494503e-02,-5.908927042e-01
3.535353535e-01,4.859760818e-05,-6.433678442e-07,1.264459024e-06,1.020733048e+00,2.919329597e-02,-5.642276174e-01
3.636363636e-01,4.791386642e-05,-7.631856181e-07,1.224580788e-06,1.064058009e+00,3.011510633e-02,-5.065343939e-01
3.737373737e-01,4.752451039e-05,-8.882026154e-07,1.182655936e-06,1.107476135e+00,3.112176481e-02,-4.825318849e-01
3.838383838e-01,4.729666536e-05,-1.010627849e-06,1.123091967e-06,1.151767606e+00,3.194436786e-02,-4.243866379e-01
3.939393939e-01,4.662486176e-05,-1.123422156e-06,1.044577674e-06,1.196272927e+00,3.290134826e-02,-3.517266830e-01
4.040404040e-01,4.683621719e-05,-1.251301298e-06,9.606341723e-07,1.243427169e+00,3.368165142e-02,-3.272666472e-01
4.141414141e-01,4.673535920e-05,-1.366502772e-06,8.570295758e-07,1.290717197e+00,3.451388386e-02,-3.020075662e-01
4.242424242e-01,4.764605783e-05,-1.486588789e-06,7.437071560e-07,1.338861472e+00,3.488728139e-02,-1.642904387e-01
4.343434343e-01,4.805883834e-05,-1.589890689e-06,6.069350222e-07,1.388460251e+00,3.541075582e-02,-2.225830529e-01
4.444444444e-01,4.938450467e-05,-1.711982286e-06,4.686446430e-07,1.437197319e+00,3.594179877e-02,-1.628852148e-01
4.545454545e-01,5.073355438e-05,-1.794081101e-06,3.020399446e-07,1.487401561e+00,3.586045230e-02,-1.210796454e-01
4.646464646e-01,5.274764022e-05,-1.889602001e-06,1.222204193e-07,1.538501059e+00,3.589829814e-02,-4.023890817e-02
4.747474747e-01,5.488518602e-05,-1.968776608e-06,-7.607170887e-08,-1.551486395e+00,3.589758682e-02,1.664859766e-02
