# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,2.859378942e-06,2.850749389e-06,-1.694793740e-07,-2.969046100e-02,9.987423308e-01,-3.342489768e-02
1.010101010e-02,2.837848529e-06,2.742231033e-06,7.162675002e-07,1.277453191e-01,9.987255552e-01,1.178433609e-01
2.020202020e-02,2.847836371e-06,2.406066677e-06,1.517174146e-06,2.812944702e-01,9.988157385e-01,2.892986661e-01
3.030303030e-02,2.853072834e-06,1.867760785e-06,2.135682094e-06,4.261106244e-01,9.944343910e-01,4.237653819e-01
4.040404040e-02,2.831978412e-06,1.226510890e-06,2.550084903e-06,5.612446930e-01,9.991992063e-01,5.582776716e-01
5.050505051e-02,2.797269801e-06,5.639825245e-07,2.737234428e-06,6.837994582e-01,9.990928635e-01,6.780134137e-01
6.060606061e-02,2.785672803e-06,-5.009160684e-08,2.782994727e-06,7.943967788e-01,9.992004414e-01,7.966257251e-01
7.070707071e-02,2.744285228e-06,-5.910708328e-07,2.677913578e-06,8.940169555e-01,9.993016146e-01,8.970578810e-01
8.080808081e-02,2.746746175e-06,-1.073389439e-06,2.510228673e-06,9.874362042e-01,9.939374660e-01,9.854567671e-01
9.090909091e-02,2.681191332e-06,-1.424561843e-06,2.267802115e-06,1.065835433e+00,9.988528284e-01,1.062921041e+00
1.010101010e-01,2.657215382e-06,-1.720729352e-06,2.024554628e-06,1.137624823e+00,9.999247476e-01,1.136204246e+00
1.111111111e-01,2.601381414e-06,-1.944561023e-06,1.773571072e-06,1.201075122e+00,1.011729808e+00,1.207819259e+00
1.212121212e-01,2.547970340e-06,-2.098848162e-06,1.440389209e-06,1.270068453e+00,9.990547070e-01,1.267909825e+00
1.313131313e-01,2.511922732e-06,-2.223197475e-06,1.169994382e-06,1.328576657e+00,1.000137718e+00,1.329501896e+00
1.414141414e-01,2.467896560e-06,-2.296238484e-06,8.995989474e-07,1.384100287e+00,9.992999792e-01,1.383730694e+00
1.515151515e-01,2.407941925e-06,-2.320112017e-06,6.458871955e-07,1.435040521e+00,1.000164325e+00,1.435786117e+00
1.616161616e-01,2.318464288e-06,-2.283303667e-06,3.919711723e-07,1.485790685e+00,9.992407164e-01,1.485538635e+00
1.717171717e-01,2.291521964e-06,-2.284561659e-06,1.705329778e-07,1.533542507e+00,9.997362627e-01,1.533628911e+00
1.818181818e-01,2.225889980e-06,-2.223314898e-06,-3.956142646e-08,-1.561900319e+00,9.990012383e-01,1.578543720e+00
1.919191919e-01,2.161278188e-06,-2.142902476e-06,-2.317509351e-07,-1.516931603e+00,9.972791914e-01,1.624774654e+00
2.020202020e-01,2.095053544e-06,-2.054649579e-06,-4.084685447e-07,-1.472674618e+00,9.999068243e-01,1.668654118e+00
2.121212121e-01,2.040368501e-06,-1.958567551e-06,-5.677660066e-07,-1.429719090e+00,9.994283242e-01,1.711720971e+00
2.222222222e-01,1.964578600e-06,-1.832658458e-06,-7.066578302e-07,-1.386784313e+00,9.997970082e-01,1.754721398e+00
2.323232323e-01,1.904983413e-06,-1.712479055e-06,-8.336337141e-07,-1.344280607e+00,9.998026621e-01,1.795717469e+00
2.424242424e-01,1.847407582e-06,-1.586714797e-06,-9.454887430e-07,-1.302104704e+00,9.998092411e-01,1.837747522e+00
2.525252525e-01,1.760034454e-06,-1.430034121e-06,-1.025471104e-06,-1.259742536e+00,9.998171543e-01,1.881215843e+00
2.626262626e-01,1.702055881e-06,-1.293723457e-06,-1.102687124e-06,-1.217871981e+00,9.987297834e-01,1.920420220e+00
2.727272727e-01,1.628707924e-06,-1.143400997e-06,-1.159480215e-06,-1.174606193e+00,9.998248241e-01,1.967114116e+00
2.828282828e-01,1.572795308e-06,-1.003397527e-06,-1.210794867e-06,-1.131399863e+00,9.998273131e-01,2.018665604e+00
2.929292929e-01,1.505136019e-06,-8.584005808e-07,-1.237737255e-06,-1.088581397e+00,1.000752472e+00,2.053644708e+00
3.030303030e-01,1.438343133e-06,-7.075650285e-07,-1.250382786e-06,-1.042874358e+00,9.988572559e-01,2.098946218e+00
3.131313131e-01,1.359670224e-06,-5.647692478e-07,-1.237395857e-06,-9.994871491e-01,1.000381192e+00,2.149590420e+00
3.232323232e-01,1.287473106e-06,-4.229324904e-07,-1.215270101e-06,-9.528509371e-01,9.994467270e-01,2.184090924e+00
3.333333333e-01,1.228552374e-06,-2.966097938e-07,-1.195437586e-06,-9.070015395e-01,1.002550001e+00,2.233597701e+00
3.434343434e-01,1.189229291e-06,-1.760268828e-07,-1.175931480e-06,-8.596922479e-01,9.998352374e-01,2.278331722e+00
3.535353535e-01,1.122983320e-06,-5.886641973e-08,-1.126438621e-06,-8.115038554e-01,1.004445657e+00,2.330368060e+00
3.636363636e-01,1.065847177e-06,4.904363083e-08,-1.065930169e-06,-7.624092900e-01,1.001135856e+00,2.377489543e+00
3.737373737e-01,1.015957301e-06,1.483591673e-07,-1.010496458e-06,-7.125098538e-01,1.005287621e+00,2.421871116e+00
3.838383838e-01,9.730993916e-07,2.398338758e-07,-9.430484942e-07,-6.608790703e-01,9.999674331e-01,2.481608153e+00
3.939393939e-01,9.405349627e-07,3.234643974e-07,-8.823583739e-07,-6.097092374e-01,9.991967778e-01,2.534908641e+00
