# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,1.305812219e-05,-6.339312827e-06,1.126729825e-05,1.041642025e+00,9.900520736e-01,-2.114068215e+00
1.010101010e-02,1.049973482e-05,-5.674848605e-06,8.568253464e-06,1.077888705e+00,9.787965638e-01,-2.080853494e+00
2.020202020e-02,8.542236626e-06,-5.103924870e-06,6.541848297e-06,1.116672282e+00,9.713309272e-01,-2.064318326e+00
3.030303030e-02,5.514778510e-06,-3.726788371e-06,3.725180493e-06,1.178205128e+00,9.554940114e-01,-2.056792441e+00
4.040404040e-02,3.778933466e-06,-2.812166050e-06,2.443215169e-06,1.213141946e+00,9.857972379e-01,-1.965714883e+00
5.050505051e-02,2.058110924e-06,-1.646015303e-06,1.205208746e-06,1.254791329e+00,9.912352907e-01,-1.893249724e+00
6.060606061e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
7.070707071e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
8.080808081e-02,8.885097922e-10,-6.751767818e-10,2.246511738e-10,1.410192863e+00,8.008577804e-01,-1.924003206e+00
9.090909091e-02,1.315872130e-09,-1.212555589e-09,5.110309187e-10,1.371366585e+00,9.999781093e-01,-1.769913782e+00
1.010101010e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
1.111111111e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
1.212121212e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
1.313131313e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
1.414141414e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
1.515151515e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
1.616161616e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,       nan,0.000000000e+00
