# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,9.269146947e-05,-5.920855025e-05,-6.876094551e-05,-1.140843397e+00,9.789449742e-01,-1.169988865e+00
1.010101010e-02,8.933347429e-05,-5.229422573e-05,-7.013448012e-05,-1.105746710e+00,9.793021503e-01,-1.136664223e+00
2.020202020e-02,8.688897369e-05,-4.599890637e-05,-7.165772375e-05,-1.070737089e+00,9.800001949e-01,-1.069256656e+00
3.030303030e-02,8.399067602e-05,-3.955331016e-05,-7.224070119e-05,-1.035867190e+00,9.805860220e-01,-1.023138181e+00
4.040404040e-02,8.135429456e-05,-3.324191571e-05,-7.248807568e-05,-1.000383119e+00,9.802403498e-01,-1.017003888e+00
5.050505051e-02,7.920498911e-05,-2.744117170e-05,-7.285401195e-05,-9.655106495e-01,9.829009377e-01,-9.469700443e-01
6.060606061e-02,7.633949836e-05,-2.121713055e-05,-7.188360825e-05,-9.289032048e-01,9.817912046e-01,-9.773507746e-01
7.070707071e-02,7.503316179e-05,-1.563157115e-05,-7.187686775e-05,-8.924694558e-01,9.803263499e-01,-8.815219716e-01
8.080808081e-02,7.272017903e-05,-9.988356293e-06,-7.074012196e-05,-8.555334709e-01,9.824207016e-01,-8.715589752e-01
9.090909091e-02,7.129021166e-05,-4.623954226e-06,-6.991264032e-05,-8.184195852e-01,9.828191522e-01,-8.268989685e-01
1.010101010e-01,6.949524793e-05,8.110535884e-07,-6.831630158e-05,-7.794624243e-01,9.831048578e-01,-7.688956151e-01
1.111111111e-01,6.845665226e-05,5.911984121e-06,-6.705069576e-05,-7.414259521e-01,9.832620240e-01,-7.748329121e-01
1.212121212e-01,6.678572412e-05,1.097481017e-05,-6.476657791e-05,-7.014695327e-01,9.835911555e-01,-7.067739273e-01
1.313131313e-01,6.655089091e-05,1.588409909e-05,-6.264447042e-05,-6.612351923e-01,9.710897062e-01,-6.654254163e-01
1.414141414e-01,6.497506558e-05,2.080646862e-05,-6.050512075e-05,-6.197922351e-01,9.847261215e-01,-6.089630634e-01
1.515151515e-01,6.420067269e-05,2.554220926e-05,-5.800449955e-05,-5.779986505e-01,9.872050306e-01,-5.985156837e-01
1.616161616e-01,6.372669116e-05,3.008749927e-05,-5.522417708e-05,-5.359675531e-01,9.868475826e-01,-5.417972718e-01
1.717171717e-01,6.365624405e-05,3.470087941e-05,-5.219256482e-05,-4.920218991e-01,9.845926891e-01,-5.378741826e-01
1.818181818e-01,6.323042866e-05,3.892195095e-05,-4.858080592e-05,-4.476682632e-01,9.844880619e-01,-4.881625265e-01
1.919191919e-01,6.327924309e-05,4.316019143e-05,-4.484003362e-05,-4.022424561e-01,9.835277584e-01,-4.373846010e-01
2.020202020e-01,6.345175544e-05,4.729008819e-05,-4.079249101e-05,-3.558822115e-01,9.842599314e-01,-3.761954610e-01
2.121212121e-01,6.443686850e-05,5.160709519e-05,-3.663199744e-05,-3.086447094e-01,9.821491245e-01,-3.330226577e-01
2.222222222e-01,6.485910519e-05,5.535799661e-05,-3.188147341e-05,-2.612606428e-01,9.849381202e-01,-2.555816516e-01
