# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,8.968664372e-05,-5.171719299e-05,-7.094045636e-05,-1.100368073e+00,9.788609525e-01,-1.110280435e+00
1.010101010e-02,8.660825498e-05,-4.516871453e-05,-7.178870311e-05,-1.066201404e+00,9.793114158e-01,-1.083613414e+00
2.020202020e-02,8.380626508e-05,-3.877584071e-05,-7.294517229e-05,-1.029691912e+00,9.857367966e-01,-1.050608199e+00
3.030303030e-02,8.078551157e-05,-3.249333969e-05,-7.212884421e-05,-9.970289273e-01,9.792593755e-01,-1.001355775e+00
4.040404040e-02,7.829343013e-05,-2.660256736e-05,-7.209751321e-05,-9.621395503e-01,9.815493400e-01,-9.984326816e-01
5.050505051e-02,7.624107789e-05,-2.087450626e-05,-7.184349704e-05,-9.267829309e-01,9.812906670e-01,-9.076861734e-01
6.060606061e-02,7.451033219e-05,-1.536759291e-05,-7.139543702e-05,-8.914038744e-01,9.801408347e-01,-9.240571712e-01
7.070707071e-02,7.247353227e-05,-9.720778774e-06,-7.050836882e-05,-8.538998412e-01,9.820868359e-01,-8.409489484e-01
8.080808081e-02,7.086255528e-05,-4.509078234e-06,-6.946948530e-05,-8.178063638e-01,9.824041389e-01,-8.256038989e-01
9.090909091e-02,6.937691914e-05,6.608794857e-07,-6.817502552e-05,-7.805513828e-01,9.827220569e-01,-7.957912595e-01
1.010101010e-01,6.808585802e-05,5.809772103e-06,-6.666881148e-05,-7.419360701e-01,9.828983197e-01,-7.580984702e-01
1.111111111e-01,6.703140624e-05,1.067423838e-05,-6.501482705e-05,-7.040332607e-01,9.829013113e-01,-6.737952765e-01
1.212121212e-01,6.532286726e-05,1.551114453e-05,-6.235456076e-05,-6.634938603e-01,9.836503094e-01,-6.521223970e-01
1.313131313e-01,6.509336647e-05,2.029161517e-05,-6.069918385e-05,-6.240889163e-01,9.832199752e-01,-6.059976992e-01
1.414141414e-01,6.436168826e-05,2.508974161e-05,-5.814465466e-05,-5.817141717e-01,9.839222623e-01,-6.091056621e-01
1.515151515e-01,6.376307863e-05,2.967271315e-05,-5.533291028e-05,-5.392824069e-01,9.846912910e-01,-5.709823988e-01
1.616161616e-01,6.346882460e-05,3.407288024e-05,-5.239868142e-05,-4.971184133e-01,9.847773957e-01,-5.436700850e-01
